date,New Cases,7-Day Moving Avg
Mar 11 2021,60678,66307
Mar 10 2021,60375,67178
Mar 9 2021,52815,68092
Mar 8 2021,124266,68312
Mar 7 2021,41606,57813
Mar 6 2021,57853,59025
Mar 5 2021,66559,60791
Mar 4 2021,66778,61742
Mar 3 2021,66769,62764
Mar 2 2021,54355,63957
Mar 1 2021,50777,66164
Feb 28 2021,50085,66764
Feb 27 2021,70217,67283
Feb 26 2021,73217,67225
Feb 25 2021,73933,67169
Feb 24 2021,75121,66315
Feb 23 2021,69800,65491
Feb 22 2021,54980,63758
Feb 21 2021,53716,63874
Feb 20 2021,69810,65613
Feb 19 2021,72826,68311
Feb 18 2021,67952,71896
Feb 17 2021,69357,76731
Feb 16 2021,57667,80663
Feb 15 2021,55795,85483
Feb 14 2021,65885,89861
Feb 13 2021,88698,93351
Feb 12 2021,97921,96035
Feb 11 2021,101794,100170
Feb 10 2021,96881,103563
Feb 9 2021,91408,107005
Feb 8 2021,86443,110759
Feb 7 2021,90318,116287
Feb 6 2021,107480,119353
Feb 5 2021,126872,124129
Feb 4 2021,125540,129505
Feb 3 2021,120974,134254
Feb 2 2021,117690,139291
Feb 1 2021,125135,143915
Jan 31 2021,111786,145062
Jan 30 2021,140912,149239
Jan 29 2021,164499,153643
Jan 28 2021,158782,157524
Jan 27 2021,156234,161827
Jan 26 2021,150058,166268
Jan 25 2021,133166,165946
Jan 24 2021,141028,168118
Jan 23 2021,171734,174305
Jan 22 2021,191666,180145
Jan 21 2021,188905,188299
Jan 20 2021,187323,193481
Jan 19 2021,147803,198800
Jan 18 2021,148367,209206
Jan 17 2021,184341,216617
Jan 16 2021,212612,221812
Jan 15 2021,248747,227144
Jan 14 2021,225177,236492
Jan 13 2021,224556,244573
Jan 12 2021,220644,247972
Jan 11 2021,200245,249377
Jan 10 2021,220705,245587
Jan 9 2021,249940,243689
Jan 8 2021,314180,248692
Jan 7 2021,281744,228764
Jan 6 2021,248346,221576
Jan 5 2021,230485,219391
Jan 4 2021,173714,215339
Jan 3 2021,207416,215015
Jan 2 2021,284963,206581
Jan 1 2021,174682,191695
Dec 31 2020,231428,187089
Dec 30 2020,233052,181895
Dec 29 2020,202121,181280
Dec 28 2020,171445,180766
Dec 27 2020,148380,182674
Dec 26 2020,180759,189742
Dec 25 2020,142444,192763
Dec 24 2020,195065,206044
Dec 23 2020,228748,213876
Dec 22 2020,198523,215687
Dec 21 2020,184799,216765
Dec 20 2020,197857,219788
Dec 19 2020,201911,217605
Dec 18 2020,235407,219684
Dec 17 2020,249892,221407
Dec 16 2020,241424,215463
Dec 15 2020,206071,214470
Dec 14 2020,205960,216976
Dec 13 2020,182572,214323
Dec 12 2020,216464,213460
Dec 11 2020,247469,212510
Dec 10 2020,208282,208309
Dec 9 2020,234474,210542
Dec 8 2020,223613,205653
Dec 7 2020,187391,199755
Dec 6 2020,176527,194975
Dec 5 2020,209814,191793
Dec 4 2020,218067,182339
Dec 3 2020,223913,175966
Dec 2 2020,200250,165621
Dec 1 2020,182329,163517
Nov 30 2020,153931,161508
Nov 29 2020,154253,162259
Nov 28 2020,143636,161543
Nov 27 2020,173454,167762
Nov 26 2020,151496,170830
Nov 25 2020,185524,176018
Nov 24 2020,168265,173499
Nov 23 2020,159185,173352
Nov 22 2020,149247,172502
Nov 21 2020,187169,165731
Nov 20 2020,194929,167234
Nov 19 2020,187813,165733
Nov 18 2020,167887,161914
Nov 17 2020,167239,158872
Nov 16 2020,153230,154937
Nov 15 2020,101856,150492
Nov 14 2020,197686,151214
Nov 13 2020,184422,136726
Nov 12 2020,161083,129829
Nov 11 2020,146592,124054
Nov 10 2020,139696,118798
Nov 9 2020,122115,111957
Nov 8 2020,106905,107005
Nov 7 2020,96271,111403
Nov 6 2020,136141,110425
Nov 5 2020,120661,105325
Nov 4 2020,109798,101092
Nov 3 2020,91809,97263
Nov 2 2020,87456,94586
Nov 1 2020,137688,91296
Oct 31 2020,89428,80696
Oct 30 2020,100435,79984
Oct 29 2020,91032,77614
Oct 28 2020,82994,75319
Oct 27 2020,73073,72647
Oct 26 2020,64428,70942
Oct 25 2020,63486,70408
Oct 24 2020,84443,68099
Oct 23 2020,83846,63734
Oct 22 2020,74968,61857
Oct 21 2020,64289,60269
Oct 20 2020,61135,59711
Oct 19 2020,60692,57827
Oct 18 2020,47323,55885
Oct 17 2020,53888,55701
Oct 16 2020,70705,55692
Oct 15 2020,63852,54029
Oct 14 2020,60384,52824
Oct 13 2020,47945,51849
Oct 12 2020,47098,50760
Oct 11 2020,46036,49743
Oct 10 2020,53824,48418
Oct 9 2020,59068,47680
Oct 8 2020,55414,46454
Oct 7 2020,53563,45361
Oct 6 2020,40317,44280
Oct 5 2020,39985,44079
Oct 4 2020,36756,43272
Oct 3 2020,48660,43227
Oct 2 2020,50487,43349
Oct 1 2020,47760,42780
Sep 30 2020,45996,42051
Sep 29 2020,38915,41434
Sep 28 2020,34335,42758
Sep 27 2020,36439,43537
Sep 26 2020,49517,43697
Sep 25 2020,46499,42710
Sep 24 2020,42660,43139
Sep 23 2020,41676,43316
Sep 22 2020,48183,43400
Sep 21 2020,39785,41513
Sep 20 2020,37559,40735
Sep 19 2020,42610,40258
Sep 18 2020,49506,39994
Sep 17 2020,43897,39396
Sep 16 2020,42260,38640
Sep 15 2020,34977,37387
Sep 14 2020,34336,35782
Sep 13 2020,34224,34644
Sep 12 2020,40760,34665
Sep 11 2020,45318,35370
Sep 10 2020,38606,35995
Sep 9 2020,33493,36962
Sep 8 2020,23739,37948
Sep 7 2020,26373,40809
Sep 6 2020,34370,41727
Sep 5 2020,45695,42300
Sep 4 2020,49691,42026
Sep 3 2020,45377,41362
Sep 2 2020,40392,41721
Sep 1 2020,43771,42665
Aug 31 2020,32796,41810
Aug 30 2020,38380,41904
Aug 29 2020,43781,41961
Aug 28 2020,45037,42219
Aug 27 2020,47894,42563
Aug 26 2020,46998,42184
Aug 25 2020,37786,42171
Aug 24 2020,33457,42498
Aug 23 2020,38779,43299
Aug 22 2020,45583,43806
Aug 21 2020,47447,45118
Aug 20 2020,45241,46494
Aug 19 2020,46909,47656
Aug 18 2020,40072,49067
Aug 17 2020,39068,51346
Aug 16 2020,42328,51589
Aug 15 2020,54765,52541
Aug 14 2020,57075,52514
Aug 13 2020,53379,53250
Aug 12 2020,56786,53683
Aug 11 2020,56021,53272
Aug 10 2020,40772,52468
Aug 9 2020,48992,53791
Aug 8 2020,54575,53621
Aug 7 2020,62226,54265
Aug 6 2020,56415,55234
Aug 5 2020,53908,56944
Aug 4 2020,50391,58721
Aug 3 2020,50035,60119
Aug 2 2020,47801,60793
Aug 1 2020,59081,62794
Jul 31 2020,69010,63618
Jul 30 2020,68384,64480
Jul 29 2020,66351,65099
Jul 28 2020,60171,65695
Jul 27 2020,54758,66174
Jul 26 2020,61803,66664
Jul 25 2020,64854,66853
Jul 24 2020,75040,67255
Jul 23 2020,72722,67277
Jul 22 2020,70522,67247
Jul 21 2020,63523,66845
Jul 20 2020,58185,66517
Jul 19 2020,63126,66643
Jul 18 2020,67671,66270
Jul 17 2020,75192,65592
Jul 16 2020,72514,64370
Jul 15 2020,67706,62512
Jul 14 2020,61226,62111
Jul 13 2020,59072,60563
Jul 12 2020,60510,58763
Jul 11 2020,62929,56446
Jul 10 2020,66639,54905
Jul 9 2020,59506,53597
Jul 8 2020,64901,52717
Jul 7 2020,50386,51246
Jul 6 2020,46474,50336
Jul 5 2020,44293,48833
Jul 4 2020,52136,48375
Jul 3 2020,57487,47313
Jul 2 2020,53345,45498
Jul 1 2020,54606,43712
Jun 30 2020,44015,41342
Jun 29 2020,35949,39934
Jun 28 2020,41089,38618
Jun 27 2020,44705,36693
Jun 26 2020,44783,34943
Jun 25 2020,40839,33173
Jun 24 2020,38018,31336
Jun 23 2020,34161,29196
Jun 22 2020,26736,28404
Jun 21 2020,27613,27262
Jun 20 2020,32456,26441
Jun 19 2020,32394,25454
Jun 18 2020,27976,24060
Jun 17 2020,23039,23191
Jun 16 2020,28618,22834
Jun 15 2020,18743,21242
Jun 14 2020,21861,21094
Jun 13 2020,25549,20523
Jun 12 2020,22640,21040
Jun 11 2020,21889,21967
Jun 10 2020,20543,21788
Jun 9 2020,17473,20958
Jun 8 2020,17704,22034
Jun 7 2020,17863,21652
Jun 6 2020,29169,22827
Jun 5 2020,29129,22067
Jun 4 2020,20638,20514
Jun 3 2020,14731,20622
Jun 2 2020,25010,21342
Jun 1 2020,15024,20121
May 31 2020,26089,21544
May 30 2020,23851,20013
May 29 2020,18255,20401
May 28 2020,21400,21268
May 27 2020,19766,21138
May 26 2020,16467,21565
May 25 2020,24986,22576
May 24 2020,15372,22543
May 23 2020,26563,22264
May 22 2020,24324,23058
May 21 2020,20490,22841
May 20 2020,22758,23779
May 19 2020,23543,23508
May 18 2020,24753,23220
May 17 2020,13421,22193
May 16 2020,32121,23742
May 15 2020,22807,23011
May 14 2020,27052,23373
May 13 2020,20859,23952
May 12 2020,21527,24253
May 11 2020,17564,24393
May 10 2020,24265,24643
May 9 2020,27005,25439
May 8 2020,25339,25801
May 7 2020,31105,26413
May 6 2020,22969,26474
May 5 2020,22506,26853
May 4 2020,19316,27027
May 3 2020,29833,27657
May 2 2020,29544,27440
May 1 2020,29618,28059
Apr 30 2020,31538,28116
Apr 29 2020,25621,28918
Apr 28 2020,23722,29058
Apr 27 2020,23727,29409
Apr 26 2020,28311,30229
Apr 25 2020,33878,29718
Apr 24 2020,30015,29150
Apr 23 2020,37155,29107
Apr 22 2020,26600,27955
Apr 21 2020,26180,28041
Apr 20 2020,29464,28029
Apr 19 2020,24738,27335
Apr 18 2020,29902,27879
Apr 17 2020,29714,28284
Apr 16 2020,29089,28921
Apr 15 2020,27204,29292
Apr 14 2020,26098,29935
Apr 13 2020,24603,29362
Apr 12 2020,28546,31932
Apr 11 2020,32736,31528
Apr 10 2020,34175,31233
Apr 9 2020,31684,31364
Apr 8 2020,31704,30564
Apr 7 2020,22088,29931
Apr 6 2020,42597,30022
Apr 5 2020,25718,27088
Apr 4 2020,30669,26001
Apr 3 2020,35089,24380
Apr 2 2020,26084,21961
Apr 1 2020,27278,20657
Mar 31 2020,22719,18750
Mar 30 2020,22060,16961
Mar 29 2020,18112,15351
Mar 28 2020,19318,14026
Mar 27 2020,18156,12100
Mar 26 2020,16957,10016
Mar 25 2020,13932,8276
Mar 24 2020,10192,6776
Mar 23 2020,10793,5720
Mar 22 2020,8837,4288
Mar 21 2020,5834,3198
Mar 20 2020,3572,2418
Mar 19 2020,4778,1951
Mar 18 2020,3429,1330
Mar 17 2020,2800,881
Mar 16 2020,772,524
Mar 15 2020,1203,445
Mar 14 2020,373,295
Mar 13 2020,302,251
Mar 12 2020,431,215
Mar 11 2020,289,162
Mar 10 2020,303,124
Mar 9 2020,218,84
Mar 8 2020,150,57
Mar 7 2020,64,36
Mar 6 2020,52,28
Mar 5 2020,63,21
Mar 4 2020,22,12
Mar 3 2020,24,9
Mar 2 2020,25,6
Mar 1 2020,6,2
Feb 29 2020,10,1
Feb 28 2020,0,0
Feb 27 2020,1,0
Feb 26 2020,0,0
Feb 25 2020,0,0
Feb 24 2020,0,0
Feb 23 2020,0,0
Feb 22 2020,0,0
Feb 21 2020,2,0
Feb 20 2020,0,0
Feb 19 2020,0,0
Feb 18 2020,0,0
Feb 17 2020,0,0
Feb 16 2020,0,0
Feb 15 2020,0,0
Feb 14 2020,0,0
Feb 13 2020,1,0
Feb 12 2020,0,0
Feb 11 2020,1,0
Feb 10 2020,0,0
Feb 9 2020,0,0
Feb 8 2020,0,0
Feb 7 2020,0,0
Feb 6 2020,0,0
Feb 5 2020,0,0
Feb 4 2020,0,0
Feb 3 2020,3,0
Feb 2 2020,0,0
Feb 1 2020,1,0
Jan 31 2020,2,0
Jan 30 2020,0,0
Jan 29 2020,0,0
Jan 28 2020,0,0
Jan 27 2020,0,0
Jan 26 2020,3,0
Jan 25 2020,0,0
Jan 24 2020,1,0
Jan 23 2020,0,0
Jan 22 2020,1,0